Time,Session Title,In-person,Virtual,Format,Speakers 
8:30,Arrival & setup,,,,
9:00,"Registration, ice breakers","Receive name tag, familiarise yourself with the venue, meet fellow participants
Venue: TBC and Zoom Events Expo & Lobby","Sign into online platform, familiarise yourself with the platform, meet fellow participants
Venue: Zoom Events Expo & Lobby",Interactive,
10:00,Welcome & opening,Venue: TBC,Venue: Zoom session 1,Short presentations,"Juan Steyn - Operations director, SADiLaR 
Prof Langa Khumalo - Executive director, SADiLaR
TBC
Noxolo Chalale - Marketing & community engagement manager, Talarify
Anelda van der Walt - Director, Talarify"
11:00,"Data in humanities and social sciences
",Venue: TBC,Venue: Zoom session 2,Presentation / Interactive,"Benito Trollip - Digital Humanities Researcher, SADiLaR"
11:30,Featured digital/computational research project from the Western Cape,Venue: TBC,Venue: Zoom session 3,Presentation,TBC
12:00,LUNCH BREAK,Venue: TBC,Provide own lunch,,
13:00,Jargon busting: Demystifying key concepts,Venue: TBC,Venue: TBC,Interactive,TBC
13:10,Growing a community of practice around digital and computational research in humanities and social sciences,Venue: TBC,Venue: Zoom session 4,Interactive,"Anelda van der Walt - Director, Talarify
Nomalungelo Maphanga - Project manager & data science mentor, Talarify"
13:40,Introduction to the DH & CSS Stakeholder Map Project,Venue: TBC,Venue: Zoom session 5,Presentation,"Benito Trollip - Digital Humanities Researcher, SADiLaR"
14:00,Case-studies: Showcasing examples of interdisciplinary projects with computational/digital elements,Venue: TBC,Venue: Zoom session 6,Lightning talks,TBC
14:30,REFRESHMENTS BREAK,Venue: TBC,Provide own refreshments,,
15:00,Case-studies: Showcasing examples of interdisciplinary projects with computational/digital elements,Venue: TBC,Venue: Zoom session 7,Lightning talks,TBC
15:35,Jargon busting: Demystifying key concepts,Venue: TBC,Venue: TBC,Interactive,TBC
15:45,Wrap up,Venue: TBC,Venue: Zoom session 8,Interactive,
16:00,Networking,Venue: TBC and Zoom Events Expo & Lobby,Venue: Zoom Events Expo & Lobby,Interactive,
17:00,End,,,,
