Day 2 Time,Session Title,In-person,Format,Speakers
8:30,Arrival & setup,,,
9:00,Networking and exhibition,Somerset Rooms 2 & 3,Interactive,
10:00,A vision for digital and computational research in humanities and social sciences,Somerset Rooms 2 & 3,Panel discussion,"Prof Monwabisi Ralarala, UWC
Dr Errol Francke, CPUT
Dr Doug Parry, Stellenbosch University
Dr Sanjin Muftic, UCT"
10:45,Lessons learned from doing interdisciplinary research,Somerset Rooms 2 & 3,Lightning talks,"Carolien van den Berg, UWC
Vanessa McBride, Office of Astronomy for Development
Belinda Verster, CPUT"
11:30,ChatCPT - a discussion,Somerset Rooms 2 & 3,Discussion,"Lead: Errol Francke, CPUT"
12:00,LUNCH BREAK,Vergelegen Room,,
13:00,South African infrastructure for digital/computational research,Somerset Rooms 2 & 3,Short presentations and discussion,"Anwar Vahed, DIRISA
Werner janse van Rensburg, CHPC
Thuso Bogopa, SANReN"
14:00,Creating a personalised roadmap,Somerset Rooms 2 & 3,Interactive session,ESCALATOR Team
14:30,REFRESHMENTS BREAK,Vergelegen Room,,
15:00,SADiLaR’s role in supporting Digital Humanities,Somerset Rooms 2 & 3,Presentation,"Mmasibidi Setaka, Digital Humanities Researcher (SADiLaR)"
15:15,Case-studies: Showcasing examples of humanities/social sciences research projects with computational/digital elements,Somerset Room 2 & 3,Lightning talks,"Priscalia Khosa, Stellenbosch University
Sisanda Nkoala, CPUT
Robyn Berghoff, Stellenbosch University
Hilton Oosthuizen, UWC
Nomxolisi Jantjies, CPUT
André Daniels, UWC"
16:30,Wrap-up and closing,Somerset Rooms 2 & 3,Interactive,"Juan Steyn, SADiLaR"
17:00,End,,,
