DAY 1: 8 March 2023,,,,
Day 1 Time,Session Title,In-person,Format,Speakers
8:30,Arrival & setup,,,
9:00,"Registration, ice breakers","Receive name tag, familiarise yourself with the venue, meet fellow participants
Venue: TBC and Zoom Events Expo & Lobby",Interactive,
10:00,Welcome & opening,Somerset Room 2 & 3,"Short presentations:
- Housekeeping
- Welcome from SADiLaR
- Big vision
- Opportunities to engage","Juan Steyn, SADiLaR
Prof Langa Khumalo, SADiLaR
Prof Justus Roux, Stellenbosch University
Noxolo Chalale, Talarify"
11:00,Tracing innovation and identity in early African Nationalism with computational social science,Somerset Room 2 & 3,Presentation with Q&A,"Dr Jonathan Schoots, Stellenbosch University"
11:30,Growing a community of practice around digital and computational research in humanities and social sciences,Somerset Room 2 & 3,Presentation with audience participation,"Anelda van der Walt, Talarify
Nomalungelo Maphanga, Talarify"
12:00,LUNCH BREAK,Vergelegen Room,,
13:00,Data in humanities and social sciences,Somerset Room 2 & 3,Interactive presentation,"Benito Trollip, SADiLaR"
13:20,South African data sources: opportunities and challenges,Somerset Room 2 & 3,Lightning talks,"Ria Olivier, Antarctic Legacy of South Africa
Roné Wierenga, Mozilla Common Voice
Hussein Suleman, UCT
Hayley Hayes-Roberts, UCT
Sanjin Muftic, UCT"
14:30,REFRESHMENTS BREAK,Vergelegen Room,,
15:00,Resources and opportunities for learning and teaching digital and computational skills,Somerset Room 2 & 3,Panel and audience discussion,"Lead: Prof Kevin Durheim
Inonge Lupinda, NEPTTP
Carolynne Kies, UWC
Samuel Wicomb, CPUT
Frances Gillis-Webber, UCT"
15:45,Wrap up,Somerset Room 2 & 3,Interactive,"Menno van Zaanen, SADiLaR"
16:00,Networking,Venue: Vergelegen Room and Zoom Events Expo & Lobby,Interactive,Facilitated by: Benito Trollip & Noxolo Chalale
17:00,End,,,
,,,,
DAY 2: 9 March 2023,,,,
Day 2 Time,Session Title,In-person,Format,Speakers
8:30,Arrival & setup,,,
9:00,Networking and exhibition,Somerset Rooms 2 & 3,Interactive,
10:00,A vision for digital and computational research in humanities and social sciences,Somerset Rooms 2 & 3,Panel discussion,"Prof Monwabisi Ralarala, UWC
Dr Errol Francke, CPUT
Dr Doug Parry, Stellenbosch University
Dr Sanjin Muftic, UCT"
10:45,Lessons learned from doing interdisciplinary research,Somerset Rooms 2 & 3,Lightning talks,"Carolien van den Berg, UWC
Vanessa McBride, Office of Astronomy for Development
Belinda Verster, CPUT"
11:30,ChatCPT - a discussion,Somerset Rooms 2 & 3,Discussion,"Lead: Errol Francke, CPUT"
12:00,LUNCH BREAK,Vergelegen Room,,
13:00,South African infrastructure for digital/computational research,Somerset Rooms 2 & 3,Short presentations and discussion,"Anwar Vahed, DIRISA
Werner janse van Rensburg, CHPC
Thuso Bogopa, SANReN"
14:00,Creating a personalised roadmap,Somerset Rooms 2 & 3,Interactive session,ESCALATOR Team
14:30,REFRESHMENTS BREAK,Vergelegen Room,,
15:00,SADiLaR’s role in supporting Digital Humanities,Somerset Rooms 2 & 3,Presentation,"Mmasibidi Setaka, Digital Humanities Researcher (SADiLaR)"
15:15,Case-studies: Showcasing examples of humanities/social sciences research projects with computational/digital elements,Somerset Room 2 & 3,Lightning talks,"Priscalia Khosa, Stellenbosch University
Sisanda Nkoala, CPUT
Robyn Berghoff, Stellenbosch University
Hilton Oosthuizen, UWC
Nomxolisi Jantjies, CPUT
André Daniels, UWC"
16:30,Wrap-up and closing,Somerset Rooms 2 & 3,Interactive,"Juan Steyn, SADiLaR"
17:00,End,,,
,,,,
DAY 3: 10 March 2023,,,,
Time,Workshop 1: Introduction to video and audio annotation with ELAN,Venue,Presenter(s),Helper(s)
8:30,Arrival & setup & installation,Somerset Room 2,,
9:00,Introduction to video and audio annotation with ELAN,Somerset Room 2,"Prof Heather Brookes, Stellenbosch University (SADiLaR Child Language Node)","Deon du Plessis, SADiLaR
Noxolo Chalale, Talarify"
10:30,REFRESHMENTS BREAK,Vergelegen Room,,
11:00,Introduction to video and audio annotation with ELAN,Somerset Room 2,"Prof Heather Brookes, Stellenbosch University (SADiLaR Child Language Node)","Deon du Plessis, SADiLaR
Noxolo Chalale, Talarify"
12:30,END & LUNCH BREAK,Vergelegen Room,,
,,,,
Time,Workshop 2: First steps to text mining,Venue,Presenter(s),Helper(s)
8:30,Arrival & setup & installation,Somerset Room 3,,
9:00,First steps to text mining,Somerset Room 3,"Prof Menno van Zaanen, SADiLaR","Benito Trollip, SADiLaR
Nomalungelo Maphanga, Talarify"
10:30,REFRESHMENTS BREAK,Vergelegen Room,,
11:00,First steps to text mining,Somerset Room 3,"Prof Menno van Zaanen, SADiLaR","Benito Trollip;
Nomalungelo Maphanga"
12:30,END & LUNCH BREAK,Vergelegen Room,,
